"GEOID","Total","Hispanic","pct_Hispanic"
"040130506053",3795,3188,0.840052700922266
"040130506061",1968,1592,0.808943089430894
"040130506062",3053,2568,0.841139862430396
"040130506063",2441,1922,0.787382220401475
"040130506071",763,442,0.579292267365662
"040130506072",1122,709,0.631907308377897
"040130506073",1942,1060,0.545829042224511
"040130506074",1604,909,0.566708229426434
"040130506075",2109,1364,0.646752015173068
"040130506081",2261,1415,0.625829279080053
"040130506082",1386,950,0.685425685425685
"040130506083",1880,1127,0.599468085106383
"040130506084",2501,2120,0.84766093562575
"040130506091",2356,1356,0.575551782682513
"040130506092",947,896,0.946145723336853
"040130506093",1427,664,0.46531184302733
"040130506101",5220,3676,0.704214559386973
"040130506102",3191,1376,0.431212785960514
"040130506103",1006,763,0.75844930417495
"040130506111",3496,1466,0.419336384439359
"040130506112",1672,1025,0.613038277511962
"040130507011",3045,2324,0.763218390804598
"040130507012",2410,877,0.363900414937759
"040130507021",2024,1201,0.593379446640316
"040130507022",1328,678,0.510542168674699
"040130507023",1672,852,0.509569377990431
"040130608011",963,252,0.261682242990654
"040130608012",1281,271,0.211553473848556
"040130608013",1230,215,0.17479674796748
"040130608014",1390,1335,0.960431654676259
"040130608015",1015,250,0.246305418719212
"040130608021",773,609,0.78783958602846
"040130608022",1834,984,0.536532170119956
"040130609011",919,475,0.516866158868335
"040130609012",1654,1045,0.63180169286578
"040130609013",2294,1341,0.584568439407149
"040130609021",1045,525,0.502392344497608
"040130609022",1069,107,0.100093545369504
"040130609023",1246,15,0.0120385232744783
"040130609031",750,270,0.36
"040130609032",2061,167,0.0810286268801553
"040130609033",1620,1024,0.632098765432099
"040130609034",1328,552,0.41566265060241
"040130609041",699,237,0.339055793991416
"040130609042",1558,887,0.569319640564827
"040130609043",1361,711,0.522409992652461
"040130610091",3218,1915,0.595090118085768
"040130610092",1618,782,0.483312731767614
"040130610093",3065,2939,0.958890701468189
"040130610094",1834,1474,0.80370774263904
"040130610101",1442,1281,0.888349514563107
"040130610102",1914,1825,0.95350052246604
"040130610103",1400,1107,0.790714285714286
"040130610111",1134,681,0.600529100529101
"040130610112",5392,3737,0.693063798219585
"040130610121",2220,1855,0.835585585585586
"040130610122",1962,927,0.472477064220183
"040130610123",1664,1386,0.832932692307692
"040130610124",2310,1770,0.766233766233766
"040130610131",3487,2397,0.687410381416691
"040130610132",3050,1999,0.655409836065574
"040130610141",3691,2255,0.610945543213221
"040130610142",2430,1445,0.594650205761317
"040130610151",2844,2091,0.735232067510548
"040130610152",1035,431,0.416425120772947
"040130610153",1780,1434,0.80561797752809
"040130610161",5610,4419,0.787700534759358
"040130610171",3389,2366,0.698141044555916
"040130610181",1836,1767,0.962418300653595
"040130610182",1406,1370,0.974395448079659
"040130610183",1171,1155,0.986336464560205
"040130610191",1260,696,0.552380952380952
"040130610192",651,331,0.508448540706605
"040130610193",2061,1552,0.753032508491024
"040130610201",1267,717,0.565903709550118
"040130610202",1248,1012,0.810897435897436
"040130610203",1308,1118,0.854740061162079
"040130610211",2110,1617,0.766350710900474
"040130610221",3798,2726,0.717746182201158
"040130610222",3724,1967,0.528195488721805
"040130610223",2640,2086,0.790151515151515
"040130610231",2998,1413,0.471314209472982
"040130610232",2172,1587,0.730662983425414
"040130610233",2634,1452,0.55125284738041
"040130610234",3573,2619,0.732997481108312
"040130610241",2198,1223,0.556414922656961
"040130610251",3190,2579,0.80846394984326
"040130610252",2872,2519,0.877089136490251
"040130610253",3802,3305,0.869279326670174
"040130610261",3458,2839,0.820994794679005
"040130610262",2178,1711,0.785583103764922
"040130610271",806,640,0.794044665012407
"040130610272",1008,891,0.883928571428571
"040130610273",1184,959,0.809966216216216
"040130610274",1135,800,0.704845814977974
"040130610275",664,484,0.728915662650602
"040130610281",2786,2364,0.848528356066044
"040130610291",1108,984,0.888086642599278
"040130610292",971,649,0.668383110195675
"040130610293",1473,1260,0.855397148676171
"040130610294",954,773,0.810272536687631
"040130610301",1893,1491,0.787638668779715
"040130610302",1426,1258,0.88218793828892
"040130610303",4611,3929,0.852092821513771
"040130610311",4150,3549,0.855180722891566
"040130610321",2136,1497,0.700842696629214
"040130610322",2245,1992,0.887305122494432
"040130610323",1020,785,0.769607843137255
"040130610324",1064,580,0.545112781954887
"040130610331",1762,1185,0.672531214528944
"040130610332",3057,2518,0.823683349689238
"040130610333",1879,1473,0.78392762107504
"040130610341",3093,2610,0.843840931134821
"040130610342",1421,769,0.541168191414497
"040130610343",2335,1755,0.751605995717345
"040130610344",555,500,0.900900900900901
"040130610351",2048,1744,0.8515625
"040130610352",1911,1339,0.700680272108844
"040130610353",2424,2188,0.902640264026403
"040130610354",1045,654,0.625837320574163
"040130610361",925,749,0.80972972972973
"040130610362",2528,2005,0.793117088607595
"040130610371",2590,1793,0.692277992277992
"040130610372",2485,2216,0.891750503018109
"040130610381",1841,1449,0.787072243346008
"040130610382",1222,975,0.797872340425532
